Seconds,Volts
21439,11.1602677859
21469,11.2233201463
21499,11.1602677859
21529,11.172878258
21559,11.172878258
21589,11.1350468418
21620,11.1854887301
21650,11.1476573138
21680,11.1350468418
21710,11.2359306184
21740,11.2107096742
21770,11.1350468418
21800,11.1980992021
21830,11.2233201463
21860,11.1350468418
21890,11.1476573138
21920,11.2359306184
21950,11.1224363697
21980,11.2107096742
22010,11.2107096742
22040,11.1350468418
22070,11.2359306184
22100,11.1476573138
22130,11.1224363697
22160,11.2233201463
22190,11.1602677859
22220,11.172878258
22250,11.2359306184
22280,11.172878258
22310,11.1980992021
22340,11.2107096742
22370,11.1854887301
22400,11.1224363697
22430,11.2359306184
22460,11.0972154255
22490,11.1098258976
22520,11.2233201463
22550,11.2107096742
22580,11.2107096742
22610,11.1854887301
22640,11.0972154255
22671,11.1476573138
22701,11.1350468418
22731,11.1476573138
22761,11.172878258
22791,11.0972154255
22821,11.1098258976
22851,11.1098258976
22881,11.2107096742
22911,11.172878258
22941,11.1098258976
22971,11.0972154255
23001,11.1098258976
23031,11.1602677859
23061,11.1224363697
23091,11.1350468418
23121,11.1854887301
23151,11.172878258
23181,11.1476573138
23211,11.1980992021
23241,11.1980992021
23271,11.172878258
23301,11.0846049535
23331,11.1476573138
23361,11.1098258976
23391,11.1980992021
23421,11.172878258
23451,11.0846049535
23481,11.1476573138
23511,11.1854887301
23541,11.172878258
23571,11.1854887301
23601,11.0719944814
23631,11.0719944814
23661,11.172878258
23691,11.0719944814
23722,11.0719944814
23752,11.1098258976
23782,11.0593840093
23812,11.172878258
23842,11.1098258976
23872,11.1350468418
23902,11.0719944814
23932,11.1602677859
23962,11.0972154255
23992,11.0593840093
24022,11.1602677859
24052,11.1098258976
24082,11.172878258
24112,11.0467735372
24142,11.0467735372
24172,11.0972154255
24202,11.0846049535
24232,11.1350468418
24262,11.0846049535
24292,11.0719944814
24322,11.1350468418
24352,11.0846049535
24382,11.1224363697
24412,11.0972154255
24442,11.0972154255
24472,11.0972154255
24502,11.0341630652
24532,11.1224363697
24562,11.0341630652
24592,11.1476573138
24622,11.0593840093
24652,11.0215525931
24682,11.0846049535
24712,11.0467735372
24742,11.0215525931
24772,11.0846049535
24803,11.0341630652
24833,11.0215525931
24863,11.1350468418
24893,11.0215525931
24923,11.008942121
24953,11.0972154255
24983,11.1224363697
25013,11.0467735372
25043,11.1224363697
25073,11.1098258976
25103,11.1224363697
25133,11.1224363697
25163,11.0972154255
25193,11.0972154255
25223,11.0341630652
25253,11.
